time_s,amp_dB
0.289,-4.5144703099
0.752,-4.5086191783
1.221,-4.4837127519
1.690,-4.4845710511
2.158,-4.5714381557
2.624,-4.4816584359
3.097,-4.4809810307
3.565,-4.5290369581
4.033,-4.4897317138
4.502,-4.4498371387
4.970,-4.4935516842
5.452,-4.4931260844
5.935,-4.5287129138
6.418,-4.5485629221
6.874,-4.470723829
7.346,-4.520162195
7.814,-4.4480066505
8.283,-4.5079613037
8.752,-4.4407997291
9.219,-4.5064003897
9.689,-4.4471833234
10.158,-4.4999602222
10.626,-4.4818968646
11.094,-4.41447012
11.569,-4.4171946951
12.036,-4.4624926219
12.502,-4.4434933773
12.971,-4.4222030612
13.439,-4.5051314236
13.909,-4.4954863758
14.377,-4.4187144046
14.845,-4.4860470482
15.314,-4.3979570068
15.786,-4.4031247118
16.253,-4.4596523472
16.720,-4.4783607845
17.194,-4.4770172211
17.668,-4.4109809146
18.151,-4.4053954473
18.611,-4.4370067096
19.079,-4.4622125648
19.549,-4.4680350209
20.016,-4.4563413912
