time_s,amp_dB
0.303,-5.0737561355
0.767,-4.9990749077
1.234,-4.981606915
1.703,-5.0680904582
2.175,-5.0493726383
2.645,-4.9488572124
3.111,-5.1027837764
3.580,-5.1692728809
4.050,-5.1707390827
4.519,-5.1395745034
4.987,-5.1808361019
5.453,-5.1491589117
5.923,-5.2003848736
6.392,-5.2456428811
6.866,-5.1793152485
7.337,-5.1533405816
7.819,-5.1896627367
8.288,-5.2219005431
8.752,-5.1399054274
9.219,-5.2358689346
9.689,-5.2475868585
10.161,-5.1816377181
10.625,-5.2018384757
11.095,-5.1488322019
11.564,-5.238911599
12.033,-5.2632659085
12.502,-5.2471185758
12.970,-5.1873755808
13.441,-5.2342094499
13.919,-5.2642863715
14.402,-5.0550058048
14.886,-4.9698860979
15.369,-5.0741135983
15.854,-4.9668046852
16.336,-5.0542392837
16.798,-5.0187036269
17.266,-5.0405207316
17.737,-4.969606896
18.204,-5.0583675599
18.673,-4.9815343229
19.140,-4.9984823447
19.611,-5.0759972563
