time_s,amp_dB
0.298,-4.9301671938
0.762,-4.8964749306
1.238,-4.8997666257
1.730,-4.9343957571
2.189,-4.9468342343
2.658,-4.943589059
3.126,-4.9780513233
3.595,-4.9944427465
4.064,-4.9922038257
4.533,-4.9150884172
4.999,-4.9939482974
5.479,-5.0006461552
5.964,-4.9508444576
6.424,-4.9234574491
6.892,-4.9244293425
7.361,-4.9209785842
7.827,-4.9656507094
8.298,-5.005650054
8.767,-4.9594365111
9.237,-5.0035766061
9.705,-4.9814443956
10.181,-4.968224053
10.647,-4.9202203075
11.114,-4.9259079702
11.578,-4.9499339728
12.049,-4.994472456
12.517,-4.9948694122
12.985,-4.9755856138
13.463,-4.9652439434
13.943,-4.9285447254
14.407,-4.9869202666
14.877,-4.9810228735
15.345,-4.9512590995
15.814,-4.9361187661
16.281,-4.9370487289
16.751,-4.9788886073
17.226,-4.973085227
17.695,-5.0197812032
18.158,-4.9662812698
18.626,-5.0152830191
19.096,-4.995998485
19.561,-5.0140174029
20.033,-4.9365982112
