time_s,amp_dB
0.281,-8.0549735859
1.340,-8.1322847798
2.406,-8.0280193304
3.469,-8.3770326222
4.530,-8.0750768456
5.593,-8.8029421664
6.656,-8.4423550042
7.718,-7.9747292521
8.780,-7.9322276602
9.841,-8.1723829386
10.905,-7.8392811013
11.991,-7.8937065265
13.063,-7.9003671908
14.124,-7.808161308
15.184,-7.8102083865
16.258,-7.7828265603
17.327,-7.8033183848
18.390,-7.7414579095
19.452,-7.9055258646
20.512,-7.8866549399
21.577,-7.8511872698
22.643,-8.0140827883
23.725,-7.5945595163
24.801,-7.6041679058
25.874,-8.0044358743
26.958,-7.8446907024
28.029,-7.6743731311
29.092,-7.9144296269
