time_s,amp_dB
0.301,-7.0747290366
1.371,-7.3071318497
2.434,-7.2799956202
3.496,-7.2564347897
4.558,-7.3756848187
5.625,-7.320012076
6.699,-7.3982781918
7.761,-7.0590719523
8.824,-7.0731732356
9.885,-7.4643408973
10.947,-7.5288354795
12.016,-7.1870380857
13.090,-7.3325491949
14.152,-7.4808120376
15.214,-7.0696659476
16.277,-7.3491067958
17.339,-7.2551259819
18.401,-7.2494259821
19.466,-7.297390378
20.548,-7.5391919947
21.622,-7.5090444161
22.702,-7.0426281727
23.761,-7.1421728257
24.825,-7.3694735565
25.886,-7.2027061535
26.950,-7.4711205627
28.021,-7.7185227386
29.091,-7.2882138783
