time_s,amp_dB
0.287,-4.4953306477
0.754,-4.481491486
1.223,-4.481877414
1.691,-4.5215120601
2.160,-4.4848932455
2.629,-4.4900746246
3.097,-4.5190615871
3.566,-4.488249029
4.035,-4.507526193
4.504,-4.5124291032
4.972,-4.4987052779
5.441,-4.517535686
5.910,-4.5132537501
6.380,-4.4982635415
6.848,-4.4836522969
7.318,-4.4930243119
7.784,-4.5150495221
8.266,-4.5173595733
8.738,-4.5123552674
9.207,-4.4819035224
9.682,-4.4851165918
10.150,-4.5072487451
10.615,-4.4845072995
11.082,-4.4883845791
11.551,-4.5153606473
12.025,-4.5139948413
12.489,-4.5043723956
12.957,-4.4865392688
13.426,-4.5013990767
13.894,-4.4836763139
14.363,-4.4858921326
14.828,-4.5128008977
15.300,-4.5020527387
15.774,-4.5083008164
16.268,-4.4792522802
16.737,-4.5045373142
17.208,-4.4763253889
17.676,-4.4822709582
18.145,-4.5023411735
18.618,-4.4789780316
19.084,-4.4858944607
19.550,-4.4763695804
20.024,-4.4903928621
